"type","city","street","cost","area"
"1-Zimmer-Wohnung","München Au-Haidhausen","St.-Cajetan-Staße","605","25"
"3er WG","München Neuaubing","Streitbergstr.82","600","21"
"4er WG","München Pasing-Obermenzing","Pasinger Bahnhofsplatz 2","550","15"
"1-Zimmer-Wohnung","München Haidhausen Balanstr. 34","Balanstr. 34","855","29"
"2er WG","München Maxvorstadt","Neureutherstrasse 4","800","18"
"7er WG","München A y i n g","Zornedinger Str. 11","495","18"
"2er WG","München Schwabing-West","Nähe Bonner Platz","613","17"
"4er WG","München Bogenhausen","später","360","8"
"3er WG","München Obergiesing","Schwanseestr. 69b","650","15"
"3er WG","München Ramersdorf-Perlach","Margarethe-Selenka-Straße 26","550","12"
"2er WG","München Schwanthalerhöhe-Laim","Gotthardstrasse 8","500","12"
"8er WG","München Hadern","Heiglhofstraße 44","400","15"
"3er WG","München Obergiesing","Amerstorfferstraße","510","16"
"5er WG","München Maxvorstadt","Dachauerstr. 187","300","10"
"6er WG","München Schwanthalerhöhe-Laim","Perhamerstr. 43","549","15"
"7er WG","München Feldmoching","Dülferstr. 56","590","16"
"3er WG","München Trudering","Florastraße","595","30"
"5er WG","München Schwanthalerhöhe-Laim","Perhamerstr. 43","479","9"
"4er WG","München Sendling","Krottenkopfstr. 1","782","18"
"3er WG","München Feldmoching-Hasenbergl","Blodigstraße","650","14"
"2er WG","München Au-Haidhausen","Lothringer Straße","500","15"
"2er WG","München Schwabing-West","Barlachstraße 16","900","16"
"3er WG","München Au-Haidhausen","Innere Wiener Straße","730","15"
"3er WG","München Neuhausen-Nymphenburg","Winthirstrasse","560","15"
"3er WG","München Mchn-Ost Feldkirchen","Flurweg","500","18"
"4er WG","München Forstenried-Fürstenried","Maxhofweg","600","19"
"2er WG","München Neuhausen-Nymphenburg","Burghausenerstraße 6","820","24"
"2er WG","München Obergiesing","Otkerstraße 25","623","13"
"5er WG","München Schwabing-West","Belgradstr. 21","704","24"
"3er WG","München Berg am Laim","Berg-am-Laim-Straße","800","14"
"5er WG","München Ludwigsvorstadt-Isarvorstadt","Platenstraße 2","660","16"
"4er WG","München Bogenhausen","Später","460","11"
"6er WG","München Schwanthalerhöhe-Laim","Willibaldstraße","850","30"
"3er WG","München Bogenhausen","Donaustr.","700","22"
"6er WG","München Schwanthalerhöhe-Laim","Willibaldstraße","650","12"
"6er WG","München Schwanthalerhöhe-Laim","Willibaldstraße","850","18"
"6er WG","München Schwanthalerhöhe-Laim","Willibaldstraße","750","22"
"2er WG","München Ludwigsvorstadt-Isarvorstadt","rumfordstrasse","800","22"
"2er WG","München Obergiesing","Lungstraße","490","15"
"2er WG","München Ludwigsvorstadt-Isarvorstadt","rumfordstrasse","800","25"
"5er WG","München Altstadt-Lehel","Stollbergstr. 12","340","25"
"5er WG","München Altstadt-Lehel","Stollbergstraße 12","280","16"
"5er WG","München Altstadt-Lehel","Stollbergstr.12","180","12"
"2er WG","München Bogenhausen","Buschingstraße 69","720","16"
"1-Zimmer-Wohnung","München Au-Haidhausen","Wörthstr. 32","750","35"
"3er WG","München Milbertshofen / Schwabing...","Kantstraße","750","20"
"6er WG","München Forstenried-Fürstenried","Tassilostraße 8","450","250"
"2er WG","München Bogenhausen","Buschingstraße 69","780","18"
"1-Zimmer-Wohnung","München Bogenhausen","Steinhause Str. 3","840","22"
"2er WG","München Neuhausen-Nymphenburg","Jutastraße","580","15"
"3er WG","München Maxvorstadt","Thorwaldsenstraße","830","15"
"1-Zimmer-Wohnung","München Pasing-Obermenzing","Keyserlingstraße 48","750","28"
"3er WG","München Bogenhausen","knappertsbuschstr","550","11"
"3er WG","München Obergiesing","5","600","20"
"4er WG","München Feldmoching-Hasenbergl","Linkstraße 13","720","20"
"4er WG","München Moosach","Andernacher Straße, 40","380","19"
"3er WG","München Forstenried-Fürstenried","Isnystrasse","660","22"
"3er WG","München Berg am Laim","Hachinger-Bach-Str 4B","550","16"
"4er WG","München Schwabing-Freimann","Wallnerstr. 20","480","11"
"4er WG","München Schwanthalerhöhe-Laim","Westendstr. 113","639","18"
