"type","city","street","cost","area"
"4er WG","Berlin Moabit","Calvinstraße, 10557 Berlin","520","24"
"3er WG","Berlin Friedrichshain","Schreinerstrasse","500","30"
"2er WG","Berlin Berlin","Lange Straße","500","15"
"2er WG","Berlin Hellersdorf","Schkeuditzer Str. 32","450","15"
"2er WG","Berlin Tempelhof-Schöneberg","Feurigstraße 37","262","12"
"1-Zimmer-Wohnung","Berlin Kreuzberg","Krzbg/NK","950","43"
"1-Zimmer-Wohnung","Berlin Kreuzberg","Krzbg/NK","950","43"
"4er WG","Berlin Schöneberg","Dominicusstraße","490","30"
"2er WG","Berlin Neukölln","Weserstrasse 38","450","13"
"5er WG","Berlin Charlottenburg-Wilmersdorf","Rudolstädter Str.","491","30"
"3er WG","Berlin Charlottenburg-Wilmersdorf","Friedrichsruher Str.","614","24"
"2er WG","Berlin Charlottenburg","Knobelsdorffstr.","550","15"
"4er WG","Berlin Wedding","Amrumer Straße 10","490","16"
"2er WG","Berlin Wedding","Osloer Str. / Stettiner Str.","400","8"
"3er WG","Berlin Prenzlauer Berg","36","800","28"
"3er WG","Berlin Wilmersdorf/Schöneberg","Pfalzburger Straße 43","380","11"
"4er WG","Berlin Kreuzberg","Hedemannstraße","490","30"
"2er WG","Berlin Prenzlauer Berg","John-Schehr-Straße 66","499","16"
"2er WG","Berlin Friedrichshain","Sonntagstr. Ecke Lenbachstr.","320","8"
"3er WG","Berlin Moabit","Berlichingenstrasse","480","13"
"2er WG","Berlin Gesundbrunnen","Jülicherstr. 20","250","11"
"3er WG","Berlin Neukölln-Kreuzberg","Nähe Hermannplatz","20","25"
"4er WG","Berlin Charlottenburg","Kantstraße","520","28"
"5er WG","Berlin Berlin","Bernshausener Ring 10","449","17"
"2er WG","Berlin Friedrichshain","Heinrich-Heine-Straße 3","700","13"
"2er WG","Berlin Kreuzberg","Stresemannstraße","850","43"
"4er WG","Berlin Lichtenberg","Kassenart. 4","150","18"
"2er WG","Berlin Prenzlauer Berg","Eberswalder Str. 21","175","25"
"4er WG","Berlin Friedrichshain-Kreuzberg","Reichenberger Str.","410","11"
"2er WG","Berlin Kreuzberg","Berlin Kreuzberg,Dennewit...","450","10"
"1-Zimmer-Wohnung","Berlin Prenzlauer Berg","Gaudystraße, 12","800","45"
"1-Zimmer-Wohnung","Berlin Mitte","Michaelkirchstraße 21","899","30"
"2er WG","Berlin Berlin","Admiralstr., 37","600","30"
"1-Zimmer-Wohnung","Berlin Kreuzberg","Yorckstraße 77","995","33"
"3er WG","Berlin Wedding","Glasgower Str. 23","320","17"
"3er WG","Berlin Wedding","Glasgower Str. 23","530","17"
"3er WG","Berlin Wedding","Wedding","480","20"
"2er WG","Berlin Neukölln","Hermannstr.","550","20"
"3er WG","Berlin Spandau","Falkenseer Chaussee 20","400","18"
"1-Zimmer-Wohnung","Berlin Friedrichshain","Warschauer Straße 5","630","18"
"3er WG","Berlin Prenzlauer Berg","Paul-Heyse-Straße","428","20"
"1-Zimmer-Wohnung","Berlin Kreuzberg","Reichenberger Straße 116","900","29"
"1-Zimmer-Wohnung","Berlin Berlin Mitte","Grüntaler Str. 58","1170","43"
"2er WG","Berlin Friedrichshain","Rigaerstr","395","30"
"2er WG","Berlin Pankow","Romain Rolland Str. 69","650","12"
"2er WG","Berlin Pankow","Romain Rolland Str. 69","550","10"
"5er WG","Berlin Kreuzberg","Graefekiez","590","19"
"3er WG","Berlin Schöneberg","Roeb","299","16"
"2er WG","Berlin Zehlendorf","Zehlendorf 1","500","17"
"1-Zimmer-Wohnung","Berlin Prenzlauer Berg","Dunkerstraße 33","990","40"
"4er WG","Berlin Buch","Bahnhofstrasse 72","390","15"
"4er WG","Berlin Buch","Bahnhofstrasse 72","390","15"
"1-Zimmer-Wohnung","Berlin Kreuzberg","Reichenberger Straße 116","850","38"
"3er WG","Berlin Charlottenburg","weimarer street 20","669","21"
"2er WG","Berlin Berlin","110, Sonnenallee","750","28"
"3er WG","Berlin Charlottenburg","Kantstr.","780","27"
"1-Zimmer-Wohnung","Berlin Kreuzberg","Forster Straße 37","825","36"
"3er WG","Berlin Lichtenberg","Elli-Voigt-Strasse","550","19"
"2er WG","Berlin Graefekiez","Graefestraße 30","493","13"
"1-Zimmer-Wohnung","Berlin Prenzlauer Berg","Schönhauser Allee 66/67","940","35"
"1-Zimmer-Wohnung","Berlin Prenzlauer Berg","Schönhauser Allee 66/67","875","35"
"5er WG","Berlin Friedrichshain","Weidenweg","450","10"
"2er WG","Berlin Kreuzberg","Graefestraße","819","32"
"1-Zimmer-Wohnung","Berlin Friedrichshain","Scharnweberstraße 16","600","40"
"2er WG","Berlin Zehlendorf","Nieritzweg","550","13"
"2er WG","Berlin Friedrichshain","Boxhagener Str","500","25"
"3er WG","Berlin Moabit / Mitte","Birkenstr.","450","16"
"2er WG","Berlin Tegel","Illerzeile 28","515","15"
"1-Zimmer-Wohnung","Berlin Tempelhof","Hranitzkystraße","629","32"
"2er WG","Berlin Friedrichshain","Finowstrasse","430","22"
"1-Zimmer-Wohnung","Berlin Friedrichshain","Scharnweberstraße 16","600","40"
"2er WG","Berlin Köpenick","Fürstenwalder Allee","450","12"
"2er WG","Berlin Karlshorst","nähe HTW","400","20"
"3er WG","Berlin Charlottenburg","Olivaer Platz","545","13"
"1-Zimmer-Wohnung","Berlin Mitte","Stralsunder Straße 14","630","18"
"3er WG","Berlin Treptow","Kiefholzstraße 47","280","16"
"2er WG","Berlin Moabit","Thomasiusstrasse 16","650","21"
"2er WG","Berlin Charlottenburg","Hardenbergstr","600","20"
"1-Zimmer-Wohnung","Berlin Kreuzberg","Dudenstraße 80","699","18"
"1-Zimmer-Wohnung","Berlin Tiergarten","Potsdamer str","420","26"
"3er WG","Berlin Mitte","Karl-Marx-Allee 19","750","24"
"2er WG","Berlin Buckow","Lipschitzallee 68","1","15"
"4er WG","Berlin Neukölln","Jonasstraße","600","19"
"2er WG","Berlin Schöneberg","Rubensstrasse","400","14"
"2er WG","Berlin Marzahn","nahe Dorf-Marzahn","200","12"
"3er WG","Berlin Tempelhof","Tempelhofer Damm","400","11"
